"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","45449879","Eu31700","[X]Bipolar affective disorder, currently in remission","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45449848","E116300","Mixed bipolar affective disorder, severe, without mention of psychosis","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45449847","E115000","Bipolar affective disorder, currently depressed, unspecified","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45446560","Eu31600","[X]Bipolar affective disorder, current episode mixed","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45446559","Eu31.11","[X]Manic-depressive illness","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45446524","E11yz00","Other and unspecified manic-depressive psychoses NOS","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45446523","E117300","Unspecified bipolar affective disorder, severe, without mention of psychosis","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45443202","Eu33312","[X]Manic-depressive psychosis, depressed type with psychotic symptoms","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45443164","E117600","Unspecified bipolar affective disorder, in full remission","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45443163","E116400","Mixed bipolar affective disorder, severe, with psychosis","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45436598","E116600","Mixed bipolar affective disorder, in full remission","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45433265","E115z00","Bipolar affective disorder, currently depressed, NOS","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45429982","E115.00","Bipolar affective disorder, currently depressed","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45426673","Eu3y011","[X]Mixed affective episode","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45426631","E115100","Bipolar affective disorder, currently depressed, mild","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45426630","E114.00","Bipolar affective disorder, currently manic","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45423366","E115500","Bipolar affective disorder, currently depressed, in partial or unspecified remission","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45420224","Eu31900","[X]Bipolar affective disorder type II","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836966","296.61","Bipolar I disorder, most recent episode (or current) mixed, mild","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836965","296.50","Bipolar I disorder, most recent episode (or current) depressed, unspecified","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836964","296.00","Bipolar I disorder, single manic episode, unspecified","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44835786","296.52","Bipolar I disorder, most recent episode (or current) depressed, moderate","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44834590","296.5","Bipolar I disorder, most recent episode (or current) depressed","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44833400","296.01","Bipolar I disorder, single manic episode, mild","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44832234","296.66","Bipolar I disorder, most recent episode (or current) mixed, in full remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44832233","296.45","Bipolar I disorder, most recent episode (or current) manic, in partial or unspecified remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44831092","296.53","Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behavior","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44831091","296.4","Bipolar I disorder, most recent episode (or current) manic","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44831087","296.04","Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44829925","296.89","Other bipolar disorders","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44829924","296.46","Bipolar I disorder, most recent episode (or current) manic, in full remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44829922","296.02","Bipolar I disorder, single manic episode, moderate","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44828831","296.6","Bipolar I disorder, most recent episode (or current) mixed","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44828830","296.0","Bipolar I disorder, single manic episode","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44827657","296.7","Bipolar I disorder, most recent episode (or current) unspecified","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44826500","296.51","Bipolar I disorder, most recent episode (or current) depressed, mild","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44826499","296.42","Bipolar I disorder, most recent episode (or current) manic, moderate","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44824117","296.64","Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44824116","296.44","Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44824115","296.40","Bipolar I disorder, most recent episode (or current) manic, unspecified","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44822981","296.80","Bipolar disorder, unspecified","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44822980","296.8","Other and unspecified bipolar disorders","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44822979","296.63","Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44822978","296.62","Bipolar I disorder, most recent episode (or current) mixed, moderate","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44822977","296.56","Bipolar I disorder, most recent episode (or current) depressed, in full remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44822973","296.06","Bipolar I disorder, single manic episode, in full remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44822972","296.05","Bipolar I disorder, single manic episode, in partial or unspecified remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44820722","296.60","Bipolar I disorder, most recent episode (or current) mixed, unspecified","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44820721","296.55","Bipolar I disorder, most recent episode (or current) depressed, in partial or unspecified remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44820720","296.54","Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavior","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44820719","296.43","Bipolar I disorder, most recent episode (or current) manic, severe, without mention of psychotic behavior","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44820718","296.41","Bipolar I disorder, most recent episode (or current) manic, mild","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44819542","296.65","Bipolar I disorder, most recent episode (or current) mixed, in partial or unspecified remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44819539","296.03","Bipolar I disorder, single manic episode, severe, without mention of psychotic behavior","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44813514","465911000000102","[X]Bipolar affective disorder, current episode severe depression without psychotic symptoms","Clinical Finding","Non-Standard","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44805540","764591000000108","Mixed bipolar affective disorder, severe","Clinical Finding","Standard","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Bipolar disorder'"">1"
"","44804961","760721000000109","Mixed bipolar affective disorder, in partial remission","Clinical Finding","Standard","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Bipolar disorder'"">1"
"","44801136","467121000000100","[X]Bipolar affective disorder, current episode mild or moderate depression","Clinical Finding","Non-Standard","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44799926","454161000000105","[X]Bipolar affective disorder, currently in remission","Clinical Finding","Non-Standard","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44798271","443561000000100","[X]Bipolar affective disorder, current episode manic without psychotic symptoms","Clinical Finding","Non-Standard","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
