"","CONCEPT_ID","CONCEPT_NAME","STANDARD_CONCEPT","STANDARD_CONCEPT_CAPTION","INVALID_REASON","INVALID_REASON_CAPTION","CONCEPT_CODE","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID"
"42",1410649,"Moderate depressive episode","N","Non-Standard","V","Valid","F32.1","Condition","ICD10CN","ICD10 code"
"43",1410650,"Moderate depressive episode","N","Non-Standard","V","Valid","F32.100","Condition","ICD10CN","ICD10 code"
"44",1410651,"Severe depressive episode without psychotic symptoms","N","Non-Standard","V","Valid","F32.2","Condition","ICD10CN","ICD10 code"
"45",1410652,"Severe depressive episode without psychotic symptoms","N","Non-Standard","V","Valid","F32.200","Condition","ICD10CN","ICD10 code"
"46",1410653,"Severe depressive episode with psychotic symptoms","N","Non-Standard","V","Valid","F32.3","Condition","ICD10CN","ICD10 code"
"47",1410654,"Severe depressive episode with psychotic symptoms","N","Non-Standard","V","Valid","F32.300","Condition","ICD10CN","ICD10 code"
"48",1410655,"Depressive psychosis (machine translation)","N","Non-Standard","V","Valid","F32.301","Condition","ICD10CN","ICD10 code"
"49",1410656,"Other depressive episodes","N","Non-Standard","V","Valid","F32.8","Condition","ICD10CN","ICD10 code"
"50",1410657,"Other depressive episodes","N","Non-Standard","V","Valid","F32.800","Condition","ICD10CN","ICD10 code"
"51",1410658,"Menopause depression (machine translation)","N","Non-Standard","V","Valid","F32.801","Condition","ICD10CN","ICD10 code"
"52",1410659,"Atypical depression (machine translation)","N","Non-Standard","V","Valid","F32.802","Condition","ICD10CN","ICD10 code"
"53",1410660,"Depressive episode, unspecified","N","Non-Standard","V","Valid","F32.9","Condition","ICD10CN","ICD10 code"
"54",1410661,"Depressive episode, unspecified","N","Non-Standard","V","Valid","F32.900","Condition","ICD10CN","ICD10 code"
"55",1410662,"Depression (machine translation)","N","Non-Standard","V","Valid","F32.901","Condition","ICD10CN","ICD10 code"
"56",1410663,"Reactive depression (machine translation)","N","Non-Standard","V","Valid","F32.902","Condition","ICD10CN","ICD10 code"
"57",1410664,"Recurrent depressive disorder","N","Non-Standard","V","Valid","F33","Condition","ICD10CN","ICD10 Hierarchy"
"58",1410665,"Recurrent depressive disorder, current episode mild","N","Non-Standard","V","Valid","F33.0","Condition","ICD10CN","ICD10 code"
"59",1410666,"Recurrent depressive disorder, current episode mild","N","Non-Standard","V","Valid","F33.000","Condition","ICD10CN","ICD10 code"
"60",1410667,"Recurrent depressive disorder, current episode moderate","N","Non-Standard","V","Valid","F33.1","Condition","ICD10CN","ICD10 code"
"61",1410668,"Recurrent depressive disorder, current episode moderate","N","Non-Standard","V","Valid","F33.100","Condition","ICD10CN","ICD10 code"
"62",1410669,"Recurrent depressive disorder, current episode severe without psychotic symptoms","N","Non-Standard","V","Valid","F33.2","Condition","ICD10CN","ICD10 code"
"63",1410670,"Recurrent depressive disorder, current episode severe without psychotic symptoms","N","Non-Standard","V","Valid","F33.200","Condition","ICD10CN","ICD10 code"
"64",1410671,"Recurrent depressive disorder, current episode severe with psychotic symptoms","N","Non-Standard","V","Valid","F33.3","Condition","ICD10CN","ICD10 code"
"65",1410672,"Recurrent depressive disorder, current episode severe with psychotic symptoms","N","Non-Standard","V","Valid","F33.300","Condition","ICD10CN","ICD10 code"
"66",1410673,"Recurrent depressive disorder, currently in remission","N","Non-Standard","V","Valid","F33.4","Condition","ICD10CN","ICD10 code"
"67",1410674,"Recurrent depressive disorder, currently in remission","N","Non-Standard","V","Valid","F33.400","Condition","ICD10CN","ICD10 code"
"68",1410675,"Other recurrent depressive disorders","N","Non-Standard","V","Valid","F33.8","Condition","ICD10CN","ICD10 code"
"69",1410676,"Other recurrent depressive disorders","N","Non-Standard","V","Valid","F33.800","Condition","ICD10CN","ICD10 code"
"70",1410677,"Recurrent depressive disorder, unspecified","N","Non-Standard","V","Valid","F33.9","Condition","ICD10CN","ICD10 code"
"71",1410678,"Recurrent depressive disorder, unspecified","N","Non-Standard","V","Valid","F33.900","Condition","ICD10CN","ICD10 code"
"72",1410684,"Dysthymia","N","Non-Standard","V","Valid","F34.1","Condition","ICD10CN","ICD10 code"
"73",1410685,"Dysthymia","N","Non-Standard","V","Valid","F34.100","Condition","ICD10CN","ICD10 code"
"74",1410686,"Neurotic depression (machine translation)","N","Non-Standard","V","Valid","F34.101","Condition","ICD10CN","ICD10 code"
"75",1410687,"Depressive personality disorder (machine translation)","N","Non-Standard","V","Valid","F34.102","Condition","ICD10CN","ICD10 code"
"76",1410718,"Mixed anxiety and depressive disorder","N","Non-Standard","V","Valid","F41.2","Condition","ICD10CN","ICD10 code"
"77",1410719,"Mixed anxiety and depressive disorder","N","Non-Standard","V","Valid","F41.200","Condition","ICD10CN","ICD10 code"
"78",1410720,"Anxiety and depression (machine translation)","N","Non-Standard","V","Valid","F41.201","Condition","ICD10CN","ICD10 code"
"79",1411144,"Depressive conduct disorder","N","Non-Standard","V","Valid","F92.0","Condition","ICD10CN","ICD10 code"
"80",1411145,"Depressive conduct disorder","N","Non-Standard","V","Valid","F92.000","Condition","ICD10CN","ICD10 code"
"81",1568213,"Bipolar disorder, current episode depressed, mild or moderate severity","N","Non-Standard","V","Valid","F31.3","Condition","ICD10CM","4-char nonbill code"
"82",1568217,"Major depressive disorder, single episode","N","Non-Standard","V","Valid","F32","Condition","ICD10CM","3-char nonbill code"
"83",1568218,"Major depressive disorder, recurrent","N","Non-Standard","V","Valid","F33","Condition","ICD10CM","3-char nonbill code"
"84",1568219,"Major depressive disorder, recurrent, in remission","N","Non-Standard","V","Valid","F33.4","Condition","ICD10CM","4-char nonbill code"
"85",1595539,"Postpartum depression","N","Non-Standard","V","Valid","F53.0","Condition","ICD10CM","4-char billing code"
"86",3092066,"O/E - depressed","N","Non-Standard","U","Invalid","139947002","Condition","Nebraska Lexicon","Clinical Finding"
"87",3098772,"Postnatal depressive disorder","N","Non-Standard","U","Invalid","147016002","Condition","Nebraska Lexicon","Clinical Finding"
"88",3105255,"Endogenous depression","N","Non-Standard","U","Invalid","154873003","Condition","Nebraska Lexicon","Clinical Finding"
"89",3105258,"Seasonal affective disorder","N","Non-Standard","U","Invalid","154876006","Condition","Nebraska Lexicon","Clinical Finding"
"90",3105271,"Depression - postnatal","N","Non-Standard","U","Invalid","154889000","Condition","Nebraska Lexicon","Clinical Finding"
"91",3105299,"Moderate depression","N","Non-Standard","U","Invalid","154919005","Condition","Nebraska Lexicon","Clinical Finding"
"92",3105337,"Depression NOS","N","Non-Standard","U","Invalid","154963001","Condition","Nebraska Lexicon","Clinical Finding"
"93",3105338,"Mixed anxiety and depressive disorder","N","Non-Standard","U","Invalid","154964007","Condition","Nebraska Lexicon","Clinical Finding"
"94",3105339,"Mild depression","N","Non-Standard","U","Invalid","154965008","Condition","Nebraska Lexicon","Clinical Finding"
"95",3105340,"Moderate depression","N","Non-Standard","U","Invalid","154966009","Condition","Nebraska Lexicon","Clinical Finding"
"96",3105341,"Severe depression","N","Non-Standard","U","Invalid","154967000","Condition","Nebraska Lexicon","Clinical Finding"
"97",3105343,"Seasonal affective disorder","N","Non-Standard","U","Invalid","154969002","Condition","Nebraska Lexicon","Clinical Finding"
"98",3105344,"Recurrent depression","N","Non-Standard","U","Invalid","154970001","Condition","Nebraska Lexicon","Clinical Finding"
"99",3122533,"Endogenous depression first episode","N","Non-Standard","U","Invalid","191599006","Condition","Nebraska Lexicon","Clinical Finding"
"100",3122534,"Single major depressive episode, mild","N","Non-Standard","U","Invalid","191601008","Condition","Nebraska Lexicon","Clinical Finding"
"101",3122535,"Single major depressive episode, moderate","N","Non-Standard","U","Invalid","191602001","Condition","Nebraska Lexicon","Clinical Finding"
"102",3122536,"Single major depressive episode, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191603006","Condition","Nebraska Lexicon","Clinical Finding"
"103",3122537,"Single major depressive episode, in partial or unspecified remission","N","Non-Standard","U","Invalid","191605004","Condition","Nebraska Lexicon","Clinical Finding"
"104",3122538,"Single major depressive episode, in full remission","N","Non-Standard","U","Invalid","191606003","Condition","Nebraska Lexicon","Clinical Finding"
"105",3122539,"Single major depressive episode NOS","N","Non-Standard","U","Invalid","191607007","Condition","Nebraska Lexicon","Clinical Finding"
"106",3122540,"Recurrent depression: [major episode] or [endogenous]","N","Non-Standard","U","Invalid","191608002","Condition","Nebraska Lexicon","Clinical Finding"
"107",3122541,"Recurrent major depressive episodes, unspecified","N","Non-Standard","U","Invalid","191609005","Condition","Nebraska Lexicon","Clinical Finding"
"108",3122542,"Recurrent major depressive episodes, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191612008","Condition","Nebraska Lexicon","Clinical Finding"
"109",3122543,"Recurrent major depressive episodes, in partial or unspecified remission","N","Non-Standard","U","Invalid","191614009","Condition","Nebraska Lexicon","Clinical Finding"
"110",3122544,"Recurrent major depressive episodes, in full remission","N","Non-Standard","U","Invalid","191615005","Condition","Nebraska Lexicon","Clinical Finding"
"111",3122545,"Recurrent major depressive episode NOS","N","Non-Standard","U","Invalid","191617002","Condition","Nebraska Lexicon","Clinical Finding"
"112",3122550,"Bipolar affective disorder, currently depressed, unspecified","N","Non-Standard","U","Invalid","191628003","Condition","Nebraska Lexicon","Clinical Finding"
"113",3122551,"Bipolar affective disorder, currently depressed, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191631002","Condition","Nebraska Lexicon","Clinical Finding"
"114",3122552,"Bipolar affective disorder, currently depressed, severe, with psychosis","N","Non-Standard","U","Invalid","191632009","Condition","Nebraska Lexicon","Clinical Finding"
"115",3122553,"Bipolar affective disorder, currently depressed, in partial or unspecified remission","N","Non-Standard","U","Invalid","191633004","Condition","Nebraska Lexicon","Clinical Finding"
"116",3122554,"Bipolar affective disorder, currently depressed, NOS","N","Non-Standard","U","Invalid","191635006","Condition","Nebraska Lexicon","Clinical Finding"
"117",3122569,"Seasonal affective disorder","N","Non-Standard","U","Invalid","191655007","Condition","Nebraska Lexicon","Clinical Finding"
"118",3122576,"Masked depression","N","Non-Standard","U","Invalid","191665001","Condition","Nebraska Lexicon","Clinical Finding"
"119",3122585,"Agitated depression","N","Non-Standard","U","Invalid","191681006","Condition","Nebraska Lexicon","Clinical Finding"
"120",3122601,"Mixed anxiety and depressive disorder","N","Non-Standard","U","Invalid","191707004","Condition","Nebraska Lexicon","Clinical Finding"
"121",3122620,"Neurotic depression reactive type","N","Non-Standard","U","Invalid","191740008","Condition","Nebraska Lexicon","Clinical Finding"
"122",3122804,"Depressive disorder NEC","N","Non-Standard","U","Invalid","192078003","Condition","Nebraska Lexicon","Clinical Finding"
"123",3122880,"Post-schizophrenic depression","N","Non-Standard","U","Invalid","192323004","Condition","Nebraska Lexicon","Clinical Finding"
"124",3122890,"Schizoaffective disorder, depressive type","N","Non-Standard","U","Invalid","192342000","Condition","Nebraska Lexicon","Clinical Finding"
"125",3122895,"Bipolar affective disorder, currently depressed, severe, with psychosis","N","Non-Standard","U","Invalid","192361001","Condition","Nebraska Lexicon","Clinical Finding"
"126",3122896,"Single major depressive episode","N","Non-Standard","U","Invalid","192366006","Condition","Nebraska Lexicon","Clinical Finding"
"127",3122898,"[X]Depression without psychotic symptoms: [recurrent: [major] or [manic-depressive psychosis, depressed type] or [vital] or [current severe episode]] or [endogenous]","N","Non-Standard","U","Invalid","192377000","Condition","Nebraska Lexicon","Clinical Finding"
"128",3122899,"[X]Recurrent depressive disorder, current episode severe with psychotic symptoms","N","Non-Standard","U","Invalid","192378005","Condition","Nebraska Lexicon","Clinical Finding"
"129",3122901,"Dysthymia","N","Non-Standard","U","Invalid","192384008","Condition","Nebraska Lexicon","Clinical Finding"
"130",3122906,"[X]Mixed anxiety and depressive disorder","N","Non-Standard","U","Invalid","192402009","Condition","Nebraska Lexicon","Clinical Finding"
"131",3122922,"Neurasthaenia","N","Non-Standard","U","Invalid","192439005","Condition","Nebraska Lexicon","Clinical Finding"
"132",3122983,"Depressive conduct disorder","N","Non-Standard","U","Invalid","192605002","Condition","Nebraska Lexicon","Clinical Finding"
"133",3132802,"Mood disorder with depressive feature","N","Non-Standard","U","Invalid","21061000119107","Condition","Nebraska Lexicon","Clinical Finding"
"134",3137636,"Schizoaffective disorder, depressive type","N","Non-Standard","U","Invalid","231492002","Condition","Nebraska Lexicon","Clinical Finding"
"135",3137639,"Endogenous depression","N","Non-Standard","U","Invalid","231498003","Condition","Nebraska Lexicon","Clinical Finding"
"136",3142939,"Single major depressive episode","N","Non-Standard","U","Invalid","268620009","Condition","Nebraska Lexicon","Clinical Finding"
"137",3142947,"Neurasthaenia","N","Non-Standard","U","Invalid","268631001","Condition","Nebraska Lexicon","Clinical Finding"
"138",3142974,"Depression - postnatal","N","Non-Standard","U","Invalid","268753005","Condition","Nebraska Lexicon","Clinical Finding"
"139",3144604,"Atypical depressive disorder","N","Non-Standard","U","Invalid","277538003","Condition","Nebraska Lexicon","Clinical Finding"
"140",3146674,"Depression NOS","N","Non-Standard","U","Invalid","307537002","Condition","Nebraska Lexicon","Clinical Finding"
"141",3154950,"Mild depression","N","Non-Standard","U","Invalid","390717003","Condition","Nebraska Lexicon","Clinical Finding"
"142",3161606,"Major depression, melancholic type","N","Non-Standard","U","Invalid","62951006","Condition","Nebraska Lexicon","Clinical Finding"
"143",3169957,"Mood disorder with depressive symptoms caused by hypnotic","N","Non-Standard","V","Valid","724677009","Condition","Nebraska Lexicon","Clinical Finding"
"144",3179952,"Chronic depression","N","Non-Standard","V","Valid","192080009","Condition","Nebraska Lexicon","Clinical Finding"
"145",3180531,"Moderate recurrent major depression","N","Non-Standard","V","Valid","18818009","Condition","Nebraska Lexicon","Clinical Finding"
"146",3184802,"Depressive neurosis","N","Non-Standard","V","Valid","78667006","Condition","Nebraska Lexicon","Clinical Finding"
"147",3188258,"Perinatal depression","N","Non-Standard","V","Valid","10211000132109","Condition","Nebraska Lexicon","Clinical Finding"
"148",3190777,"Mild depression","N","Non-Standard","V","Valid","310495003","Condition","Nebraska Lexicon","Clinical Finding"
"149",3201548,"Nervous debility -neurasthenia","N","Non-Standard","U","Invalid","154890009","Observation","Nebraska Lexicon","Undefined"
"150",3201703,"Nervous debility -neurasthenia","N","Non-Standard","U","Invalid","268754004","Observation","Nebraska Lexicon","Undefined"
"151",3213858,"Moderate major depression","N","Non-Standard","V","Valid","832007","Condition","Nebraska Lexicon","Clinical Finding"
"152",3214749,"Depressive disorder in mother complicating childbirth","N","Non-Standard","V","Valid","10835871000119104","Condition","Nebraska Lexicon","Clinical Finding"
"153",3215928,"Recurrent major depressive disorder with postpartum onset","N","Non-Standard","V","Valid","71336009","Condition","Nebraska Lexicon","Clinical Finding"
"154",3218839,"Bipolar affective disorder, current episode depression","N","Non-Standard","V","Valid","191627008","Condition","Nebraska Lexicon","Clinical Finding"
"155",3222523,"Mood disorder with depressive symptoms caused by cocaine","N","Non-Standard","V","Valid","724690002","Condition","Nebraska Lexicon","Clinical Finding"
"156",3225113,"Mood disorder with depressive symptoms caused by sedative","N","Non-Standard","V","Valid","724676000","Condition","Nebraska Lexicon","Clinical Finding"
"157",3225440,"Depressive disorder in mother complicating pregnancy","N","Non-Standard","V","Valid","94631000119100","Condition","Nebraska Lexicon","Clinical Finding"
"158",3225882,"Severe recurrent major depression with psychotic features, mood-incongruent","N","Non-Standard","V","Valid","15193003","Condition","Nebraska Lexicon","Clinical Finding"
"159",3228513,"Recurrent depression","N","Non-Standard","V","Valid","191616006","Condition","Nebraska Lexicon","Clinical Finding"
"160",3229191,"Major depression, single episode, in complete remission","N","Non-Standard","V","Valid","19527009","Condition","Nebraska Lexicon","Clinical Finding"
"161",3229335,"Major depressive disorder, single episode, severe with psychotic features","N","Non-Standard","V","Valid","430852001","Condition","Nebraska Lexicon","Clinical Finding"
"162",3231850,"Postpartum major depression in remission","N","Non-Standard","V","Valid","104851000119103","Condition","Nebraska Lexicon","Clinical Finding"
"163",3232059,"Bipolar affective disorder, currently depressed, in full remission","N","Non-Standard","V","Valid","191634005","Condition","Nebraska Lexicon","Clinical Finding"
"164",3237831,"Mood disorder of depressed type","N","Non-Standard","V","Valid","35489007","Condition","Nebraska Lexicon","Clinical Finding"
"165",3238258,"Chronic depressive personality disorder","N","Non-Standard","V","Valid","442057004","Condition","Nebraska Lexicon","Clinical Finding"
"166",3239300,"Mood disorder with depressive symptoms caused by alcohol","N","Non-Standard","V","Valid","723928009","Condition","Nebraska Lexicon","Clinical Finding"
"167",3244134,"Moderate depression","N","Non-Standard","V","Valid","310496002","Condition","Nebraska Lexicon","Clinical Finding"
"168",3244235,"Mixed anxiety and depressive disorder","N","Non-Standard","V","Valid","231504006","Condition","Nebraska Lexicon","Clinical Finding"
"169",3244930,"Third day blues","N","Non-Standard","V","Valid","279225001","Condition","Nebraska Lexicon","Clinical Finding"
"170",3245479,"Recurrent major depressive disorder with atypical features","N","Non-Standard","V","Valid","38694004","Condition","Nebraska Lexicon","Clinical Finding"
"171",3247243,"Major depressive disorder, single episode with melancholic features","N","Non-Standard","V","Valid","63778009","Condition","Nebraska Lexicon","Clinical Finding"
"172",3247632,"Secondary dysthymia","N","Non-Standard","V","Valid","85080004","Condition","Nebraska Lexicon","Clinical Finding"
"173",3248415,"Single major depressive episode, severe, with psychosis","N","Non-Standard","V","Valid","191604000","Condition","Nebraska Lexicon","Clinical Finding"
"174",3249194,"Mild postnatal depression","N","Non-Standard","V","Valid","237349002","Condition","Nebraska Lexicon","Clinical Finding"
"175",3250090,"Recurrent major depressive disorder","N","Non-Standard","V","Valid","66344007","Condition","Nebraska Lexicon","Clinical Finding"
"176",3250138,"Severe recurrent major depression with psychotic features","N","Non-Standard","V","Valid","28475009","Condition","Nebraska Lexicon","Clinical Finding"
"177",3253807,"Mood disorder with depressive symptoms caused by anxiolytic","N","Non-Standard","V","Valid","724678004","Condition","Nebraska Lexicon","Clinical Finding"
"178",3255154,"Chronic recurrent major depressive disorder","N","Non-Standard","V","Valid","2618002","Condition","Nebraska Lexicon","Clinical Finding"
"179",3257539,"Minimal recurrent major depression","N","Non-Standard","V","Valid","720451004","Condition","Nebraska Lexicon","Clinical Finding"
"180",3257981,"Endogenous depression","N","Non-Standard","V","Valid","300706003","Condition","Nebraska Lexicon","Clinical Finding"
"181",3258175,"Recurrent major depression in partial remission","N","Non-Standard","V","Valid","33135002","Condition","Nebraska Lexicon","Clinical Finding"
"182",3259451,"Major depression, in remission","N","Non-Standard","V","Valid","42810003","Condition","Nebraska Lexicon","Clinical Finding"
"183",3259996,"Severe major depression with psychotic features, mood-incongruent","N","Non-Standard","V","Valid","60099002","Condition","Nebraska Lexicon","Clinical Finding"
"184",3260658,"Mood disorder with depressive symptoms caused by dissociative drug","N","Non-Standard","V","Valid","762345001","Condition","Nebraska Lexicon","Clinical Finding"
"185",3261258,"Severe recurrent major depression","N","Non-Standard","V","Valid","281000119103","Condition","Nebraska Lexicon","Clinical Finding"
"186",3262650,"Severe major depression","N","Non-Standard","V","Valid","450714000","Condition","Nebraska Lexicon","Clinical Finding"
"187",3264031,"Major depression, melancholic type","N","Non-Standard","V","Valid","320751009","Condition","Nebraska Lexicon","Clinical Finding"
"188",3264745,"Bipolar affective disorder, currently depressed, moderate","N","Non-Standard","V","Valid","191630001","Condition","Nebraska Lexicon","Clinical Finding"
"189",3265406,"Minimal major depression","N","Non-Standard","V","Valid","720455008","Condition","Nebraska Lexicon","Clinical Finding"
"190",3267271,"Severe recurrent major depression without psychotic features","N","Non-Standard","V","Valid","36474008","Condition","Nebraska Lexicon","Clinical Finding"
"191",3268569,"Generalised neuromuscular exhaustion syndrome","N","Non-Standard","V","Valid","87842000","Condition","Nebraska Lexicon","Clinical Finding"
"192",3271585,"Recurrent major depressive episodes","N","Non-Standard","V","Valid","268621008","Condition","Nebraska Lexicon","Clinical Finding"
"193",3271940,"Mood disorder with depressive symptoms caused by hallucinogen","N","Non-Standard","V","Valid","762336002","Condition","Nebraska Lexicon","Clinical Finding"
"194",3272611,"Severe postnatal depression","N","Non-Standard","V","Valid","237350002","Condition","Nebraska Lexicon","Clinical Finding"
"195",3274335,"Postmenopausal depression","N","Non-Standard","V","Valid","84788008","Condition","Nebraska Lexicon","Clinical Finding"
"196",3275617,"Acute depression","N","Non-Standard","V","Valid","712823008","Condition","Nebraska Lexicon","Clinical Finding"
"197",3276000,"Major depressive disorder in mother complicating childbirth","N","Non-Standard","V","Valid","10811121000119102","Condition","Nebraska Lexicon","Clinical Finding"
"198",3278473,"Mood disorder with depressive symptoms caused by volatile inhalant","N","Non-Standard","V","Valid","762339009","Condition","Nebraska Lexicon","Clinical Finding"
"199",3282050,"Premenstrual dysphoric disorder in remission","N","Non-Standard","V","Valid","426578000","Condition","Nebraska Lexicon","Clinical Finding"
"200",3291404,"Moderately severe major depression single episode","N","Non-Standard","V","Valid","720453001","Condition","Nebraska Lexicon","Clinical Finding"
"201",3291745,"Severe depression","N","Non-Standard","V","Valid","310497006","Condition","Nebraska Lexicon","Clinical Finding"
"202",3296749,"Agitated depression","N","Non-Standard","V","Valid","83458005","Condition","Nebraska Lexicon","Clinical Finding"
"203",3299096,"Major depressive disorder","N","Non-Standard","V","Valid","370143000","Condition","Nebraska Lexicon","Clinical Finding"
"204",3299169,"Severe recurrent major depression with psychotic features, mood-congruent","N","Non-Standard","V","Valid","33078009","Condition","Nebraska Lexicon","Clinical Finding"
"205",3300282,"Recurrent mild major depressive disorder co-occurrent with anxiety","N","Non-Standard","V","Valid","16264621000119109","Condition","Nebraska Lexicon","Clinical Finding"
"206",3301596,"Severe seasonal affective disorder","N","Non-Standard","V","Valid","133121000119109","Condition","Nebraska Lexicon","Clinical Finding"
"207",3302676,"Moderately severe depression","N","Non-Standard","V","Valid","719593009","Condition","Nebraska Lexicon","Clinical Finding"
"208",3303720,"Mild recurrent major depression","N","Non-Standard","V","Valid","40379007","Condition","Nebraska Lexicon","Clinical Finding"
"209",3307096,"Stuporous depression","N","Non-Standard","V","Valid","79842004","Condition","Nebraska Lexicon","Clinical Finding"
"210",3308445,"Moderate major depression, single episode","N","Non-Standard","V","Valid","15639000","Condition","Nebraska Lexicon","Clinical Finding"
"211",3308740,"Involutional depression","N","Non-Standard","V","Valid","321717001","Condition","Nebraska Lexicon","Clinical Finding"
"212",3309255,"Bipolar affective disorder, currently depressed, mild","N","Non-Standard","V","Valid","191629006","Condition","Nebraska Lexicon","Clinical Finding"
